DATE,OPEN,HIGH,LOW,CLOSE,NO. OF SHARES,NO. OF TRADES
21-09-2021,297.6,302.6,293.05,301.85,1999867,29915
20-09-2021,305.7,310.15,297.45,299.05,891677,11367
17-09-2021,312,315,306,308.5,2297730,34929
16-09-2021,314,314.95,307.8,311.65,2336803,38027
15-09-2021,306.25,312.95,306.2,311.95,995025,12242
14-09-2021,303,307.15,302.4,306.05,915452,11882
13-09-2021,299.6,301.9,295.5,301.1,543880,7838
9/9/2021,294,303.5,293.65,298.8,1309761,12667
8/9/2021,294.4,298.7,291.65,295.05,1129259,17029
7/9/2021,297.95,297.95,291,294.65,478138,6152
6/9/2021,297,299,296,297.4,538781,7994
3/9/2021,292.5,296.45,292.4,295.5,721619,8546
2/9/2021,295.7,296.3,291.8,293.1,584219,8295
1/9/2021,288.5,297.3,287.35,295.2,2855448,40825
31-08-2021,292.25,292.25,286.2,287.35,1023774,13850
30-08-2021,289.3,293.4,289.3,291.9,1460028,24775
27-08-2021,282.9,286.55,281.7,285.75,986385,17520
26-08-2021,285.4,287.4,281.4,284.4,744770,9026
25-08-2021,282,289.15,282,284.35,2138539,31459
24-08-2021,278.1,281.45,268.5,279.85,2855844,55708
23-08-2021,286.55,288.25,275,276.95,9423948,61500
20-08-2021,290,290.65,281,283.2,1312346,23409
18-08-2021,297.9,297.9,292.7,293.35,679137,10899
17-08-2021,303.3,303.3,292.95,297.65,1725463,36712
16-08-2021,306.5,307.9,303,303.75,522253,7397
13-08-2021,308.95,311.2,303.15,307.1,3090963,43354
12/8/2021,297.85,307.5,297.15,306.05,3392726,40092
11/8/2021,294.75,297.8,286.35,295.45,1739475,38019
10/8/2021,298.3,300.05,291,294.25,1364777,30712
9/8/2021,301.3,304.3,296.1,298.15,704030,9852
6/8/2021,300,303.35,297.8,300,1325071,21780
5/8/2021,295.95,300.75,292.75,299.7,1859471,30604
4/8/2021,305,306.45,297.1,298.2,1908258,37670
3/8/2021,299.3,304.4,297.8,303.75,1444918,17580
2/8/2021,300.4,300.4,295.55,296.8,883983,15376
30-07-2021,294.45,299.9,293.3,293.95,2430560,41718
29-07-2021,287.85,295.4,287.65,293,4643444,22410
28-07-2021,290.85,290.85,283.65,284.45,1243902,21138
27-07-2021,292.9,297.6,288.7,291.3,14370419,25682
26-07-2021,295.15,297,291.05,293.1,2300558,54280
23-07-2021,301.8,301.8,295,295.65,3079947,83256
22-07-2021,306.15,307,301.1,302.6,811211,13996
20-07-2021,307.45,308.1,301.1,302.05,1300956,22812
19-07-2021,309.7,310.35,306.25,308.7,1656920,14649
16-07-2021,310.5,315.4,310.5,311.25,1138753,14184
15-07-2021,310.9,312.85,307.55,310.2,1004468,12484
14-07-2021,310.5,313.3,308.55,309.45,1038386,13459
13-07-2021,310.2,312.2,308.2,310.9,1510539,15091
12/7/2021,309.9,311.9,306.25,307.45,3518291,47922
9/7/2021,306.8,308.9,302,306.35,2352249,29930
8/7/2021,315.4,315.4,305,306.3,4117874,59271
7/7/2021,316,319,306.3,317.05,7977411,123653
6/7/2021,348.35,358.1,311.45,316.95,7377141,86403
5/7/2021,348.8,350,344.05,346.05,948393,13092
2/7/2021,345.9,345.9,340.6,344.85,772457,8998
1/7/2021,341.65,347.5,341.3,344.2,1364768,13760
30-06-2021,342,345.2,338.8,339.55,1039566,9919
29-06-2021,344.4,346.5,339.6,341.55,1780699,21863
28-06-2021,340.8,344.9,337.5,342.9,999967,11993
25-06-2021,336.5,342.85,336.1,339.55,1175807,10839
24-06-2021,335.7,337.4,333.45,334.55,821763,8785
23-06-2021,341.45,343.25,334.4,335.25,1747606,21826
22-06-2021,337,344.2,336.3,337.95,1996277,24123
21-06-2021,330.2,335.8,326.15,334.35,2295826,34246
18-06-2021,346,347.2,329.05,337.55,2257795,23030
17-06-2021,348,352.9,342.4,345.6,1243844,14336
16-06-2021,350.8,355.95,348,349.3,1196626,12874
15-06-2021,356,360.65,351.2,352.65,2697386,32593
14-06-2021,350,357.8,341.05,356,3012354,42267
11/6/2021,346.45,352.9,344.75,350.75,1605772,21014
10/6/2021,345.65,347.85,342.5,344.6,1154435,13105
9/6/2021,356.5,358.8,339.6,343.25,4480912,59698
8/6/2021,346.75,356.5,337.35,352.85,3488224,48363
7/6/2021,338.55,351,338.55,345.5,5575585,77740
4/6/2021,325.45,336.9,324.5,334.95,1897098,17556
3/6/2021,324.15,327.5,323.65,325.45,2157151,27066
2/6/2021,316.2,324.25,315.5,323,2196974,27530
1/6/2021,319.65,325.7,317.4,318.1,1479190,15161
31-05-2021,319.4,319.5,312.1,318.7,2185714,29241
28-05-2021,322.85,324.4,316.55,318.95,1491332,13260
27-05-2021,316.9,323.35,316.9,318.6,2040885,19745
26-05-2021,316.8,319.9,315,315.5,2232152,24855
25-05-2021,315,318.95,313.85,315.3,1704904,15362
24-05-2021,313.85,315.95,310.15,311.8,1447771,14694
21-05-2021,312,315.5,309.5,313.1,2897263,32279
20-05-2021,314.9,316.5,306.1,307.75,3943060,51775
19-05-2021,315,322.95,312.15,314.5,5237832,54704
18-05-2021,326,336.55,324.1,332.35,4587490,37495
17-05-2021,315.95,323.8,311.5,321.1,3453593,38778
14-05-2021,331,331,310.2,312.35,3940100,30648
12/5/2021,317.1,334.7,316.95,325.85,8847706,94231
11/5/2021,309.95,320.7,308.25,315.65,2649170,21723
10/5/2021,304.5,315.5,304,314.8,4830939,55887
7/5/2021,303.2,305.85,300.45,302.8,1639643,15543
6/5/2021,290.55,301.95,290,301.15,2064712,19050
5/5/2021,293.9,293.9,288.6,291.5,1498517,12763
4/5/2021,296.6,299.65,288.1,289.35,2831512,35077
3/5/2021,285.65,294.7,285.15,293,2809702,37789
30-04-2021,299,301.3,292.85,293.95,1677637,17234
29-04-2021,308,310.2,301.35,301.85,1683634,14647
28-04-2021,302.55,309.6,302.55,305.9,1987473,17786
27-04-2021,295.35,302.45,295.35,301.45,1230925,12006
26-04-2021,296.4,299,294.5,295.4,1384321,11516
23-04-2021,292,299.95,290.75,294,2596469,21782
22-04-2021,294.9,302.5,292.25,294.55,3011818,22448
20-04-2021,307.8,308.1,294.2,297.95,2572432,20980
19-04-2021,292,304.55,292,300.95,3297146,23881
16-04-2021,302.4,315,300.3,309.9,3540808,29471
15-04-2021,303.2,307.5,296.55,303.5,3675061,27999
13-04-2021,287.7,304.5,280.55,302.7,7813158,73182
12/4/2021,308.1,308.1,284,286.6,5773388,51533
9/4/2021,314,325,312.6,318.15,3582021,26000
8/4/2021,308.55,319.7,307.85,313.85,6162512,47031
7/4/2021,307.25,310.75,305,307.8,2602498,15413
6/4/2021,305.6,313.9,304.75,307.65,5334339,42473
5/4/2021,307.9,311.65,297.2,305.05,4112463,24726
1/4/2021,306.5,309.8,303.05,307.6,3723767,33798
31-03-2021,298.65,307.5,297.55,301.85,3236502,20984
30-03-2021,300,301.4,292.7,296.95,2471291,18345
26-03-2021,292,301.5,290.4,296.3,3688101,26264
25-03-2021,294.3,294.3,282.35,285.5,4386750,35711
24-03-2021,304,305.05,293.3,294.45,3362176,25540
23-03-2021,305,312.1,304.1,307.3,3010510,20834
